Land;Erst-/Zweitstimme;Geschlecht;Geburtsjahresgruppe;Summe;Ungültig;CDU;SPD;DIE LINKE;GRÜNE;CSU;FDP;AfD
Bund;1;Summe;bis 1999;46976341;586726;14030751;11429231;3966637;3717922;3255487;3249238;5317499
Bund;1;Summe;1993 - 1999;3369640;37704;818710;836085;325815;450604;219436;291067;233988
Bund;1;Summe;1983 - 1992;6039663;58687;1512418;1362375;631362;631769;383571;446910;703775
Bund;1;Summe;1973 - 1982;6227268;62068;1739054;1267308;535303;598947;426237;460129;867889
Bund;1;Summe;1958 - 1972;13918027;146749;3810567;3338116;1169518;1296186;871771;941843;1900570
Bund;1;Summe;1948 - 1957;7693131;103820;2310567;2042977;710235;446291;518411;505296;906420
Bund;1;Summe;1947 und früher;9728612;177697;3839435;2582370;594405;294125;836062;603993;704858
Bund;2;Summe;bis 1999;46976341;460849;12447656;9539381;4297270;4158400;2869688;4999449;5878115
Bund;2;Summe;1993 - 1999;3369640;24303;665605;615571;349726;488279;171568;441271;266957
Bund;2;Summe;1983 - 1992;6039663;39765;1286190;1025242;656955;666043;322592;683394;770820
Bund;2;Summe;1973 - 1982;6227268;42494;1518679;967437;563621;677766;363703;704903;953560
Bund;2;Summe;1958 - 1972;13918027;103588;3425034;2746613;1279220;1447613;773402;1422660;2090839
Bund;2;Summe;1948 - 1957;7693131;80774;2067428;1775691;800459;519000;462664;784904;1004932
Bund;2;Summe;1947 und früher;9728612;169926;3484719;2408826;647289;359698;775759;962317;791007
